Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
Bis ca. 150cm,,Pufferzone,Gehölz,Rosa gallica,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Essigrose,"Die Essigrose kommt zwar ursprünglich aus Kleinasien, wurde aber wahrscheinlich von Kreuzrittern nach Europa gebracht und wächst hier seit ca. 800 Jahren. Damit gehört sie zu den Archäophyten und kann problemlos für jeden Hortus empfohlen werden. Die stachelige Essigrose ist eher klein, ihre Höhe beschränkt sich auf ca. 150 cm. Ihre duftenden Blüten sind dunkelrosa und zeigen sich ab Juni. Sie wächst zwar aufrecht, bildet aber starke Ausläfer und kann daher auch als Bodendecker oder zur Hangbefestigung genutzt werden. Sie mag es eher nährstoffarm und trocken an sonnigen bis halbschattigen Standorten. Für eine Heckenpflanzung rechnet man ein bis zwei Gehölze.",violett,humos,,Juni bis Juli
Bis ca. 300cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Rosa-canina-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Rosa-canina2-225x300.jpg']",Pufferzone,Gehölz,Rosa canina,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz Mehr als 20 Raupenarten",Hundsrose,"Wer eine dichtwachsende, höhere Wildrose braucht, sollte über die Hundsrose nachdenken. Sie wird bis zu 300 cm hoch und besitzt viele Stacheln, so dass sie auch sehr gut als Schutzgehölz eingesetzt werden kann (bei uns hält sie u.a. erfolgreich freilaufende Hunde vom Vorgarten fern).  Ihre rosafarbenen, duftenden Blüten werden ab Mai stark von Bienen und Hummeln angeflogen. Die Hundsrose ist anspruchslos, sie mag es humos und sonnig bis halbschattig. Für eine blickdichte, buschige Hecke reichen ein bis zwei Pflanzen pro Meter.",rosa,humos,,Juni
bis zu 400cm lange Triebe,['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Rosa-arvensis-300x225.jpg'],"Pufferzone, Gebäudebegrünung",Gehölz,Rosa arvensis,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Feld-Rose,"Wie der Name schon vermuten lässt, bildet diese Wildrose bis zu 400 cm lange Zweige, die über den Boden „kriechen“ oder mit Hilfe von Rankgerüsten auch in die Höhe wachsen. Ihre kleinen,weißen Blüten zeigen sich ab Ende Juni und verbreiten einen zarten Duft. Die Kriechrose mag humose Standorte, die sonnig bis halbschattig sind und gern lehmhaltig sein dürfen.  Diese Wildrose eignet sich hervorragend als Schutzgehölz für Benjes-Hecken, Totholzhaufen oder auch als Umrandung von Sandarien (dort aber darauf achten, dass sie außerhalb des mageren Bodens gepflanzt ist), da man die Wuchsrichtung der langen, dornigen Triebe gut kontrollieren und so gezielte Barrieren errichten kann.",weiß,humos,,Juni bis Juli
Bis ca. 200cm,,Pufferzone,Gehölz,Rosa agrestis,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Vögel (Früchte dienen als Nahrung), Vogelschutzgehölz",Ackerrose,,weiß,humos,,Juni bis Juli
Bis ca. 100cm,,"Magerzone, Pufferzone",mehrjährig,Solidago virgaurea,heimisch,Asteraceae - Korbblütengewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Hummeln, Schmetterlinge, Schwebfliegen",Gewöhnliche Goldrute,"Die Goldrute wird ca. 50cm hoch, je nach Standort können aber auch bis zu 100 cm erreicht werden. Gute Vorraussetzungen für diese heimische Staude ist ein magerer bis humoser und frischer bis feuchter Boden. Der Standort sollte sonnig bis halbschattig sein.  Die Heilwirkung der Goldrute ist seit Jahrhunderten bekannt und ihre gelben Blüten, die sich von Juli bis Oktober zeigen, werden von vielen verschiedenen Insekten gut angeflogen, darunter Schmetterlinge und viele verschiedene Bienenarten.",gelb,mager - humos,Heilkraut,Juli bis Oktober
Bis ca. 30m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Knospe-Spitzahorn-300x225.jpg'],Pufferzone,Gehölz,Acer platanoides,heimisch,Sapindaceae - Seifenbaumgewächse,"Sonne, Halbschatten",frisch - feucht,"Bienen, Schmetterlinge, Raupen, Vögel",Spitz-Ahorn,,gelbgrün,humos,,April bis Mai
,,,,,,,,,,,,,,,
Bis ca. 150cm,,"Fettzone, Pufferzone",mehrjährig,Heracleum sphondylium,heimisch,Apiaceae - Doldengewächse,"Sonnen, Halbschatten",feucht,"Wanzen, viele Käfer, Schmetterlinge, Bienen Mehr als 10 Raupenarten",Wiesen-Bärenklau,,weiß,nährstoffreich,,Juni bis September
Bis ca. 8m,['https://hortus-netzwerk.de/wp-content/uploads/2020/11/Clematis-vitalba-232x300.jpg'],"Pufferzone, Kletterpflanze",,Clematis vitalba,heimisch,Ranunculaceae - Hahnenfußgewächse,Halbschatten,frisch - feucht,"Schmetterlinge, Käfer, Fledermäuse Mehr als 20 Raupenarten",Gewöhnliche Waldrebe,"Wer einen halbschattigen Bereich beranken möchte, sollte sich die Gewöhnliche Waldrebe einmal ansehen. Bis zu 8 Meter erreicht dieses heimische Gewächs, das sich in humosen, frischen bis feuchten Böden wohlfühlt. Steht kein Baum oder anderes Großgehölz zur Verfügung, benötigt die Waldrebe ein Rankgerüst. Ab Juni erscheinen kleine, auf den ersten Blick recht unscheinbare Blüten. Doch auch hier gilt: Einfach mal genau hinsehen, die kleinen cremeweißen Blüten sind wunderschön.  Und als ob das nicht schon genug wäre, dient die Waldrebe Käfern, Schmetterlingen und mehr als 20 Raupenarten als Nahrung. Das wiederum zieht Fledermäuse an, denen diese Insekten als Nahrung dienen.",weiß,humos,giftig,Juni bis Juli
Bis ca. 170cm,,"Pufferzone, Sumpfzone",mehrjährig,Eupatoria cannabina,heimisch,Asteraceae - Korbblütengewächse,Halbschatten,feucht - nass,"Schwebfliegen, Fledermäuse, Schmetterlinge Mehr als 10 Raupenarten",Gemeiner Wasserdost,"Der bei uns heimische Wasserdost wächst bevorzugt auf feuchten bis nassen Böden. Wenn man eine hohe Teichumrandung benötigt, sollte man über den Wasserdost nachdenken, denn in halbschattiger Lage auf humosem Boden erreicht diese Staude ein Höhe von bis zu 170 cm. Zwischen Juli und August bilden sich rosafarbene Blütendolden, die viele Insekten anlocken, darunter Schmetterlinge und Schwebfliegen. Auch Fledermäuse können mit dieser Pflanze unterstützt werden, denn die Blüten sind Nahrungsquelle für viele Beutetiere der Flugkünstler. Und damit nicht genug, die Pflanze dient mehr als 10 Falterarten als Raupenfutter.",rosa,humos,,Juli bis August
Bis ca. 50cm,,Wiesen,mehrjährig,Achillea millefolium,heimisch,Asteraceae - Korbblütengewächse,Sonne,frisch - feucht,"Schmetterlinge, Fledermäuse Mehr als 10 Raupenarten","Wiesen-Schafgarbe, gewöhnliche Schafgarbe","Die heimische Schafgarbe ist bei uns schon seit Jahrhunderten als Heilmittel bekannt. Sie erreicht eine Höhe von bis zu ca. 100 cm und ihre langen, z.T. unterirdisch verlaufenden Ausläufer machen sie zu einer hervorragenden Pflanze für Bodenbefestigungen. Schafgarbe ist ein Stickstoffzeiger, wächst also bevorzugt auf nährstoffreichem Boden, der frisch bis feucht sein sollte. Der Standort darf gerne sonnig sein. Von Juni bis Oktober werden die weißen Blüten von einer Vielzahl von Insekten angeflogen, das Kraut dient vielen Schmetterlingsraupen als Nahrungsquelle.  Wer Fledermäuse unterstützen möchte, sollte sich die Schafgarbe in den Hortus pflanzen, denn sie zieht auch jene Insekten an, deren Fressfeind die Fledermaus ist.",weiß,humos,Heilkraut,Juni bis Oktober
Bis ca. 100cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Muskatellersalbei-225x300.jpg'],"Pufferzone, Magerzone",zweijährig,Salvia sclarea,heimisch,Lamiaceae - Lippenblütengewächse,Sonne,trocken,Insekten Vögel (Früchte dienen als Nahrung),Muskateller-Salbei,,lila,mager - humos,,Juli bis August
Bis ca. 15cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/UNADJUSTEDNONRAW_thumb_4fff-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/01/Eranthis-hyemalis-300x225.jpg']",Pufferzone,Zwiebelgewächs,Eranthis hyemalis,"Süd- und Osteuropa, im 16. JH eingebürgert",Ranunculaceae - Hahnenfußgewächse,"Halbschatten, Schatten",feucht,"Frühblüher Hummeln, Bienen",Winterling,"Er kommt ursprünglich aus Süd- und Osteuropa und wurde im 16. JH in Mitteleuropa eingebürgert. Ein wenig eigenwillig ist der Winterling schon. So manch einer hat die Zwiebeln im Herbt gesetzt und sich im folgenden Frühling über vereinzelte gelbe Blüten gefreut. Leider besteht eine gewisse Chance, dass man ihn in den Folgejahren dann vergeblich sucht. Der Winterling scheint etwas wählerisch in Bezug auf seinen Standort zu sein. Am meisten Erfolg hat man mit einem lockeren, humosen, lehmigen und kalkhaltigen Boden unter Büschen und Bäumen. Dort sollte es feucht und nicht zu sonnig sein. Fühlt sich der Winterling an seinem Standort wohl, wird er bis zu 15 cm hoch und seine gelben, pollenreichen Blüten sind eine wichtige Nahrungsquelle für frühfliegende Insekten. Im Laufe der Jahre kann er zu wunderschönen gelben Teppichen verwildern.",gelb,"humos, lehmig, kalkhaltig",,Februar bis März
Bis ca. 7m,"['https://hortus-netzwerk.de/wp-content/uploads/2021/06/Holunder1-225x300.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2021/06/Holunder2-300x225.jpg']",Pufferzone,Gehölz,Sambucus nigra,heimisch,Adoxaceae - Moschuskrautgewächse,"Sonne, Halbschatten, Schatten",frisch - feucht,"Insekten, Fledermäuse Vögel, Schmetterlinge Mehr als 10 Raupenarten",Schwarzer Holunder,"Der bei uns heimische und weitverbreitete Schwarze Holunder ist ein schnell wachsendes Gehölz mit bis zu 6m Höhe und ca. 3m Breite. Er verträgt starke Rückschnitte und ist recht anspruchslos. Der Boden sollte humos und frisch bis feucht sein, der Holunder kommt aber auch mit nährstoffärmeren Böden zurcht. Der Standort kann sonnig, halbschattig oder schattig sein. Blüten und Früchte des Holunders sind wichtige Nahrungsquellen für Insekten, Vögel und Kleintiere. Viele Schmetterlinge nutzen das Gehölz als Futterpflanze und der Holunder zieht Insekten an, die Fledermäusen als Nahrung dienen. Auch der Mensch nutzt schon seit Jahrhunderten Blüten und Beeren für kulinarische und medizinische Zwecke. Ein Schwarzer Holunder sollte also - soweit der Platz es zulässt - in keinem Hortus fehlen.",gelbweiß,mager - humos,Blüten und Beeren essbar,Mai bis Juni
Ca. 5-30cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Thymianblüten-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Thymian-300x225.jpg']",Magerzone,mehrjährig,Thymus pulegioides,heimisch,Lamiaceae - Lippenblütengewächse,Sonne,trocken,"Insekten, Schmetterlinge, Fledermäuse Mehr als 10 Raupenarten",Gewöhnlicher Thymian,,rosaviolett,"mager, kalkarm","essbar, Gewürzkraut, Heilkraut",Juni bis Oktober
Bis ca. 4m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Roter-Hartriegel-300x225.jpg'],Pufferzone,Gehölz,Cornus sanguinea,heimisch,Cornaceae - Hartriegelgewächse,"Sonne, Halbschatten",frisch,"Bienen, viele andere Insekten, Fledermäuse Vögel (Früchte dienen als Nahrung) Schmetterlinge Mehr als 30 Raupenarten",Roter Hartriegel,"Mit einer Wuchsgeschwindigkeit von bis zu 40cm im Jahr erreicht der Rote Hartriegel seine Endhöhe von ca. 4m recht schnell. Auf frischen und humosen Böden in sonniger bis halbschattiger Lage gedeiht er am besten. Die weißen Blüten werden ab Mai gut von Insekten angeflogen, darunter auch vielen, die auf dem Speiseplan von Fledermäusen stehen. Die Früchte sind für den Menschen ungenießbar und leicht giftig, für Vögel stellen sie aber eine wertvolle Futterquelle dar. Darüber hinaus ist der Rote Hartriegel eine Raupenfutterpflanze für zahlreiche Schmetterlinge.",weiß,humos,,Mai bis Juni
Bis ca. 45cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Aster-linosyris-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Aster-linosyris_01a-300x263.jpg']",Magerzone,mehrjährig,Aster linosyris,"Wahrscheinlich Südosteuropa, eingebürgert ca. 17. JH",Asteraceae - Korbblütengewächse,Sonne,trocken,"Bienen, Schmetterlinge",Goldaster,,gelb,mager - frisch,,Ausgust bis September
---,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Lamium-argentatum_01a-300x229.jpg'],INVASIV (Schwarze Liste) !!!,---,"Galeobdolon argentatum, Lamium argentatum",Eurasien,---,---,---,---,Silberblättrige Goldnessel,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Solidago gigantea,Nordamerika,---,---,---,---,Späte Goldrute,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Rhododendron ponticum,Südeuropa,---,---,---,---,Pontischer Rhododendron,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Prunus serotina,Nord-/Mittelamerika,---,---,---,---,Späte Traubenkirsche,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Ailanthus altissima,Asien,---,---,---,---,Götterbaum,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Elodea canadensis,Nordamerika,---,---,---,---,Kanadische Wasserpest,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Quercus rubra,Nordamerika,---,---,---,---,Rot-Eiche,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Lupinus polyphyllus,Nordamerika,---,---,---,---,Vielblättrige Lupine,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
Ca. 80-200cm,,Sumpfzone,mehrjährig,Angelica sylvestris,heimisch,Apiaceae - Doldengewächse,"Sonne, Halbschatten",nass,"Wanzen, Käfer, Fledermäuse Schmetterlinge Mehr als 10 Raupenarten",Wald-Engelwurz,,weiß,nährstoffreich,,Juli bis September
Bis ca. 12 m,"['https://hortus-netzwerk.de/wp-content/uploads/2020/10/IMG_1882-225x300.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/10/IMG_1884-300x225.jpg']",Pufferzone,Gehölz,Sorbus aucuparia,heimisch,Rosaceae - Rosengewächse,Sonne - Halbschatten - Schatten,frisch - feucht,"Nahrung für Insekten, Vögel, Säugetiere","Eberesche, Vogelbeere","Einer der wertvollsten Bäume für die Natur ist die Eberesche, denn sie bietet zahlreichen Insekten, Vogelarten und Säugetieren Nahrung in Form von Nektar und Beeren. Der in Europa heimische Baum wächst schlank in die Höhe und wird bis zu 12 Metern hoch. Dabei erreicht er gerade mal eine Breite von 4-6 Metern. Die Eberesche ist sehr anpassungsfähig und stellt keine besonderen Ansprüche an den Standort. Auf nährstoffreichen, durchlässigen Böden, die frisch bis feucht sind, gedeiht der Baum am besten. Mit Nässe kommt die Eberesche zurecht, ältere Bäume auch meist mit Trockenheit. Pro Jahr wächst die Eberesche ca. 30-60 cm und die dunkelgrünen, schmalen Blätter färben sich im Herbst gelb bis orangerot. Aus den Beeren lassen sich Marmelade und Liköre herstellen, roh sind die Beeren aber für den Menschen nicht genießbar.",weiß,nährstoffreich,Beeren für Marmelade und Likör,Mai bis Juni
Bis ca. 4m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Rhamnus-frangula-300x225.jpg'],Pufferzone,Gehölz,"Frangula alnus, Rhamnus frangula",heimisch,Rhamnaceae - Kreuzdorngewächse,"Sonne, Halbschatten, Schatten",feucht,"Bienen, Hummeln, Käfer, Schlupfwespen, Fledermäuse,  Vögel (Früchte dienen als Nahrung) Schmetterlinge Mehr als 20 Raupenarten",Faulbaum,,grünweiß,humos,giftig,Mai bis Juni
Bis ca. 70cm,,"Pufferzone, Magerzone",zweijährig bis mehrjährig,Chelidonium majus,heimisch,Papaveraceae - Mohngewächse,Halbschatten,trocken - frisch - feucht,Insekten,Schöllkraut,,gelb,mager - humos,giftig,Mai bis September
Bis ca. 150cm,,"Sumpfzone, Flachwasserzone",mehrjährig,Butomus umbellatus,heimisch,Butomaceae - Schwanenblumengewächse,"Sonne, Halbschatten",nass,"Bienen, Hummeln, Schwebfliegen",Schwanenblume,"Die zierliche Schwanenblume ist in unseren Breiten heimisch und benötigt einen nassen Standort mit einer Wassertiefe von ca. 10 - 40 cm. Die Staude ist auch für langsam fließende Gewässer/Bachläufe geeignet. Der Boden sollte lehmig und nährstoffreich sein, der Standort sonnig bis halbschattig. Ein leicht saurer Boden wird von der Pflanze bevorzugt. Die kleinen rosafarbenen Blüten werden zwischen Juni und August ausgebildet und werden von Bienen, Schwebfliegen und Hummeln gut angeflogen.",rosa,"lehmig, nährstoffreich",,Juni bis August
---,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Weisser-Flieder-Syringa-vulgaris-300x225.jpeg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/UNADJUSTEDNONRAW_thumb_1648-300x225.jpg']",INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Syringa vulgaris,Asien,---,---,---,---,Gewöhnlicher Flieder,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Robinia pseudoacacia,Nordamerika,---,---,---,---,Robinie,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
